order_item_id,order_id,product_id,quantity,unit_price,discount
1,500001,114,2,24883.58,0.1
2,500001,127,1,16509.71,0.05
3,500002,121,3,43178.12,0.1
4,500003,138,2,5148.37,0.1
5,500004,38,2,33762.69,0.15
6,500005,23,1,45229.71,0.0
7,500005,182,2,25258.66,0.15
8,500005,6,4,15719.14,0.1
9,500006,15,3,13558.11,0.1
10,500007,78,1,9475.8,0.1
11,500007,130,3,1826.9,0.15
12,500008,62,1,3498.04,0.0
13,500008,77,4,45039.66,0.1
14,500008,95,2,7858.6,0.1
15,500009,89,4,2812.94,0.0
16,500010,5,4,32053.9,0.05
17,500010,109,1,20240.83,0.05
18,500011,110,4,13452.58,0.0
19,500012,80,2,26747.7,0.05
20,500013,5,1,32053.9,0.0
21,500014,183,3,2591.66,0.1
22,500015,13,1,41294.2,0.1
23,500015,28,1,34955.61,0.0
24,500016,18,1,17846.96,0.2
25,500017,17,3,17031.55,0.0
26,500017,141,3,9199.37,0.0
27,500018,111,2,41282.72,0.1
28,500018,87,3,3216.87,0.0
29,500018,79,3,36534.8,0.2
30,500019,133,1,18726.1,0.1
31,500019,182,1,25258.66,0.1
32,500019,151,2,15178.52,0.05
33,500020,171,2,22643.94,0.2
34,500020,19,1,21391.84,0.0
35,500021,42,4,17076.73,0.05
36,500021,180,2,6088.9,0.05
37,500021,69,1,20234.72,0.2
38,500021,179,1,47254.91,0.0
39,500022,35,1,3103.89,0.0
40,500022,105,1,28367.27,0.0
41,500022,79,3,36534.8,0.1
42,500023,104,4,17663.08,0.15
43,500023,131,1,935.86,0.05
44,500024,123,4,44154.33,0.1
45,500024,10,4,34430.26,0.0
46,500025,113,1,20936.8,0.1
47,500026,3,1,2440.7,0.0
48,500026,153,3,34143.04,0.1
49,500027,70,1,9185.74,0.15
50,500027,28,1,34955.61,0.1
51,500028,188,4,6070.27,0.1
52,500028,177,3,7521.62,0.1
53,500028,113,2,20936.8,0.0
54,500028,33,3,15090.93,0.05
55,500028,24,4,29412.47,0.1
56,500029,198,3,44779.95,0.1
57,500029,61,4,23045.67,0.0
58,500029,104,3,17663.08,0.0
59,500029,189,3,36176.21,0.2
60,500029,118,4,47968.75,0.05
61,500030,58,4,38058.28,0.0
62,500031,150,3,23255.73,0.1
63,500031,107,2,13631.76,0.05
64,500031,108,3,22454.46,0.05
65,500031,125,2,41076.3,0.05
66,500031,143,1,8499.37,0.05
67,500032,80,2,26747.7,0.1
68,500032,50,1,37071.05,0.0
69,500032,126,3,4890.52,0.15
70,500033,41,1,790.54,0.0
71,500033,197,3,20725.99,0.15
72,500033,83,4,10948.99,0.2
73,500034,175,2,7528.69,0.1
74,500034,129,1,39450.63,0.2
75,500034,80,1,26747.7,0.0
76,500034,110,2,13452.58,0.05
77,500035,26,4,13443.96,0.0
78,500035,107,3,13631.76,0.05
79,500036,24,1,29412.47,0.05
80,500036,52,3,43157.07,0.15
81,500037,62,2,3498.04,0.05
82,500037,10,2,34430.26,0.0
83,500037,41,2,790.54,0.0
84,500037,119,3,20465.15,0.1
85,500038,13,3,41294.2,0.0
86,500039,120,1,14551.18,0.0
87,500039,31,1,31665.76,0.05
88,500039,87,4,3216.87,0.0
89,500040,47,3,7728.9,0.2
90,500040,124,3,16664.22,0.0
91,500040,195,2,39570.05,0.2
92,500041,176,4,42034.94,0.05
93,500041,79,2,36534.8,0.1
94,500041,117,4,5573.85,0.05
95,500041,1,3,45769.48,0.0
96,500042,132,1,47935.67,0.0
97,500043,65,1,26891.02,0.2
98,500043,81,1,15504.13,0.2
99,500043,45,2,19474.91,0.0
100,500044,23,2,45229.71,0.1
101,500045,196,1,8761.57,0.05
102,500045,140,4,19515.46,0.1
103,500045,128,4,39089.34,0.0
104,500045,46,1,6300.09,0.1
105,500046,15,2,13558.11,0.0
106,500046,34,2,15395.87,0.0
107,500047,80,3,26747.7,0.0
108,500047,198,3,44779.95,0.1
109,500047,24,4,29412.47,0.05
110,500048,122,2,7953.1,0.1
111,500048,82,1,26994.56,0.1
112,500048,14,1,28958.7,0.05
113,500048,158,3,17301.25,0.0
114,500049,123,4,44154.33,0.05
115,500049,41,1,790.54,0.0
116,500050,55,1,45214.9,0.2
117,500050,109,3,20240.83,0.15
118,500051,189,4,36176.21,0.05
119,500051,113,1,20936.8,0.05
120,500052,81,4,15504.13,0.0
121,500052,125,4,41076.3,0.1
122,500053,1,2,45769.48,0.15
123,500053,107,3,13631.76,0.0
124,500053,20,1,27803.61,0.1
125,500054,41,2,790.54,0.05
126,500054,66,2,7626.75,0.0
127,500054,92,2,38084.76,0.05
128,500055,113,4,20936.8,0.0
129,500056,90,4,42489.82,0.0
130,500056,93,4,33594.98,0.0
131,500057,5,3,32053.9,0.05
132,500057,136,2,48294.58,0.1
133,500058,58,2,38058.28,0.05
134,500059,111,4,41282.72,0.1
135,500059,37,2,8747.32,0.1
136,500059,12,3,8809.95,0.0
137,500060,33,2,15090.93,0.15
138,500060,93,3,33594.98,0.2
139,500061,198,4,44779.95,0.1
140,500062,45,4,19474.91,0.05
141,500062,57,4,1412.7,0.0
142,500062,173,3,31442.32,0.1
143,500063,84,2,26499.83,0.1
144,500063,69,1,20234.72,0.15
145,500064,70,2,9185.74,0.05
146,500064,119,3,20465.15,0.15
147,500064,175,4,7528.69,0.15
148,500065,33,2,15090.93,0.15
149,500066,43,2,25517.07,0.05
150,500067,145,2,5674.44,0.0
151,500068,58,2,38058.28,0.1
152,500068,16,4,17752.56,0.0
153,500069,74,3,9594.57,0.05
154,500069,55,2,45214.9,0.1
155,500069,57,4,1412.7,0.0
